# Python MESMA for LE07_LC08_20140831_20140901 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4364370 39.4260313 430110 -123.8120074 0.34762
4364370 39.4260337 430140 -123.8116589 0.59632
4364370 39.4260361 430170 -123.8113104 0.61436
4364340 39.4257537 430020 -123.8130499 0.43790
4364340 39.4257561 430050 -123.8127013 0.51158
4357110 39.3605515 429270 -123.8209989 0.34734
4357110 39.3605539 429300 -123.8206507 0.53953
4357110 39.3605564 429330 -123.8203025 0.68445
4357110 39.3605588 429360 -123.8199543 0.53286
4357110 39.3605613 429390 -123.8196061 0.53572
4357110 39.3605637 429420 -123.8192579 0.69705
4350630 39.3022813 430680 -123.8039649 0.52992
4349550 39.2925959 431250 -123.7972443 0.56126
4349520 39.2923017 430950 -123.8007198 0.88844
4349520 39.2923256 431250 -123.7972413 0.45114
4349490 39.2920314 430950 -123.8007168 0.94313
4349460 39.2917635 430980 -123.8003658 0.70392
4349460 39.2917659 431010 -123.8000180 0.42299
4349460 39.2917683 431040 -123.7996701 0.50615
4349430 39.2915004 431070 -123.7993192 0.64982
4349430 39.2915290 431430 -123.7951450 0.60680
4349400 39.2912325 431100 -123.7989683 0.53161
4349400 39.2912563 431400 -123.7954898 0.81557
4347420 39.2734188 431430 -123.7949402 0.86353
4347390 39.2731485 431430 -123.7949372 0.38981
4347330 39.2726245 431640 -123.7924968 0.45651
4347330 39.2726268 431670 -123.7921490 0.35714
4347300 39.2723542 431640 -123.7924937 0.70527
4347300 39.2723565 431670 -123.7921460 0.48820
4347270 39.2720839 431640 -123.7924907 0.61244
4347270 39.2720862 431670 -123.7921429 0.52548
4347240 39.2718136 431640 -123.7924876 0.40424
4347240 39.2718159 431670 -123.7921399 0.43008
4347210 39.2715433 431640 -123.7924846 0.45506
4347210 39.2715456 431670 -123.7921368 0.38939
4347180 39.2712730 431640 -123.7924815 0.56256
4347180 39.2712753 431670 -123.7921338 0.37925
4347150 39.2710027 431640 -123.7924785 0.45447
4347150 39.2710050 431670 -123.7921307 0.42984
4347120 39.2707324 431640 -123.7924754 0.38078
4347120 39.2707347 431670 -123.7921277 0.39200
4347090 39.2704573 431580 -123.7931679 0.29928
4347090 39.2704644 431670 -123.7921246 0.32818
4347090 39.2704668 431700 -123.7917769 0.48920
4347090 39.2704691 431730 -123.7914292 0.45071
4347090 39.2704715 431760 -123.7910814 0.37352
4347060 39.2701988 431730 -123.7914261 0.32050
4347030 39.2699238 431670 -123.7921186 0.32911
4347030 39.2699262 431700 -123.7917708 0.33189
4347000 39.2696488 431610 -123.7928110 0.30138
4347000 39.2696511 431640 -123.7924633 0.26469
4347000 39.2696535 431670 -123.7921155 0.35156
4346970 39.2693785 431610 -123.7928080 0.38350
4346970 39.2693808 431640 -123.7924602 0.35180
4346970 39.2693832 431670 -123.7921125 0.41211
4346970 39.2693856 431700 -123.7917647 0.34399
4346940 39.2691105 431640 -123.7924572 0.32909
4346910 39.2688426 431670 -123.7921064 0.27294
4346910 39.2688497 431760 -123.7910632 0.31704
4346880 39.2685747 431700 -123.7917556 0.41434
4346880 39.2685770 431730 -123.7914079 0.27200
4346850 39.2683044 431700 -123.7917526 0.33650
4346790 39.2677614 431670 -123.7920942 0.53898
4346790 39.2677638 431700 -123.7917465 0.96148
4346760 39.2674958 431730 -123.7913957 0.50617
4346640 39.2664122 431700 -123.7917313 0.57980
4344390 39.2461913 432360 -123.7838555 0.90758
4341030 39.2160075 433530 -123.7699670 0.84382
4340850 39.2143765 433410 -123.7713392 0.89015
4340850 39.2143788 433440 -123.7709917 0.69160
4338450 39.1927931 433950 -123.7648501 0.70310
4334760 39.1597087 436140 -123.7391440 0.31971
4332600 39.1403097 437010 -123.7288742 0.35838
4332480 39.1392285 437010 -123.7288630 0.56727
4332270 39.1373536 437250 -123.7260667 0.92985
4332270 39.1373644 437400 -123.7243312 0.80758
4332240 39.1370833 437250 -123.7260640 0.37005
4331940 39.1343996 437520 -123.7229124 0.30811
4331940 39.1344017 437550 -123.7225654 0.28186
4331910 39.1341271 437490 -123.7232568 0.38050
4331910 39.1341293 437520 -123.7229097 0.43525
4331910 39.1341314 437550 -123.7225626 0.31215
4331580 39.1311515 437460 -123.7235734 0.61996
4331580 39.1311537 437490 -123.7232264 0.98179
4331580 39.1311558 437520 -123.7228793 0.70319
4331550 39.1308877 437550 -123.7225295 0.46264
4330650 39.1227954 437790 -123.7196704 0.73909
4310010 38.9367415 436740 -123.7299009 0.63967
4309770 38.9345984 437010 -123.7267637 0.86144
4307280 38.9122554 438330 -123.7113109 0.88203
4306920 38.9090325 438630 -123.7078187 0.52015
4306260 38.9030770 438510 -123.7091435 0.44487
4306230 38.9028087 438540 -123.7087948 0.40005
4306200 38.9025384 438540 -123.7087921 0.37078
4306170 38.9022702 438570 -123.7084435 0.50989
4306050 38.9011931 438630 -123.7077409 0.41272
4306050 38.9011952 438660 -123.7073949 0.47004
4306020 38.9009228 438630 -123.7077382 0.38075
4306020 38.9009249 438660 -123.7073922 0.52442
4305990 38.9006503 438600 -123.7080814 0.41666
4305990 38.9006524 438630 -123.7077355 0.50665
4305990 38.9006545 438660 -123.7073896 0.67369
4305990 38.9006566 438690 -123.7070436 0.54220
4305960 38.9003821 438630 -123.7077328 0.52858
4305960 38.9003842 438660 -123.7073869 0.71194
4305960 38.9003863 438690 -123.7070409 0.68803
4305930 38.9001118 438630 -123.7077301 0.42232
4305930 38.9001139 438660 -123.7073842 0.60587
4305930 38.9001181 438720 -123.7066923 0.91393
4305900 38.8998436 438660 -123.7073815 0.50237
4305900 38.8998457 438690 -123.7070356 0.98401
4305900 38.8998499 438750 -123.7063437 0.69886
4305870 38.8995732 438660 -123.7073788 0.46304
4305870 38.8995753 438690 -123.7070329 0.63120
4305870 38.8995774 438720 -123.7066869 0.72666
4305870 38.8995795 438750 -123.7063410 0.59425
4305840 38.8993092 438750 -123.7063383 0.36121
4305750 38.8985087 438900 -123.7046006 0.45315
4305750 38.8985108 438930 -123.7042547 0.33297
4305720 38.8982363 438870 -123.7049439 0.31408
4305720 38.8982384 438900 -123.7045980 0.48741
4305720 38.8982404 438930 -123.7042520 0.48405
4305720 38.8982425 438960 -123.7039061 0.43485
4305720 38.8982446 438990 -123.7035602 0.40693
4305690 38.8979639 438840 -123.7052871 0.41496
4305690 38.8979659 438870 -123.7049412 0.29943
4305690 38.8979680 438900 -123.7045953 0.40925
4305690 38.8979701 438930 -123.7042494 0.40214
4305690 38.8979722 438960 -123.7039034 0.52080
4305690 38.8979743 438990 -123.7035575 0.45509
4305690 38.8979805 439080 -123.7025197 0.29177
4305660 38.8976935 438840 -123.7052845 0.41717
4305660 38.8976998 438930 -123.7042467 0.37073
4305660 38.8977019 438960 -123.7039008 0.53505
4305660 38.8977040 438990 -123.7035548 0.40433
4305660 38.8977060 439020 -123.7032089 0.36193
4305660 38.8977102 439080 -123.7025170 0.31814
4305630 38.8974565 439320 -123.6997469 0.41238
4305630 38.8974586 439350 -123.6994010 0.42998
4305600 38.8971883 439350 -123.6993984 0.39688
4305570 38.8969179 439350 -123.6993957 0.40828
4305540 38.8966476 439350 -123.6993931 0.37980
4305510 38.8963773 439350 -123.6993904 0.35115
4305510 38.8963918 439560 -123.6969689 0.41164
4305480 38.8961070 439350 -123.6993878 0.45984
4305480 38.8961090 439380 -123.6990418 0.52377
4305480 38.8961235 439590 -123.6966204 0.34185
4305450 38.8958200 439110 -123.7021525 0.29897
4305450 38.8958221 439140 -123.7018066 0.38968
4305450 38.8958242 439170 -123.7014606 0.41701
4305450 38.8958325 439290 -123.7000770 0.54998
4305450 38.8958346 439320 -123.6997310 0.36410
4305450 38.8958387 439380 -123.6990392 0.46434
4305450 38.8958408 439410 -123.6986933 0.38662
4305450 38.8958449 439470 -123.6980014 0.35500
4305420 38.8955518 439140 -123.7018039 0.44606
4305420 38.8955538 439170 -123.7014580 0.49856
4305420 38.8955559 439200 -123.7011121 0.33199
4305420 38.8955622 439290 -123.7000743 0.63854
4305420 38.8955642 439320 -123.6997284 0.43827
4305420 38.8955704 439410 -123.6986906 0.44321
4305420 38.8955725 439440 -123.6983447 0.36355
4305420 38.8955746 439470 -123.6979988 0.30719
4305390 38.8952835 439170 -123.7014553 0.64118
4305390 38.8952856 439200 -123.7011094 0.48641
4305390 38.8952939 439320 -123.6997257 0.43151
4305390 38.8953001 439410 -123.6986880 0.41399
4305390 38.8953022 439440 -123.6983421 0.34826
4305360 38.8950132 439170 -123.7014527 0.56354
4305360 38.8950153 439200 -123.7011067 0.59803
4305360 38.8950174 439230 -123.7007608 0.32560
4305360 38.8950277 439380 -123.6990312 0.38644
4305360 38.8950298 439410 -123.6986853 0.44858
4305330 38.8947429 439170 -123.7014500 0.40151
4305330 38.8947450 439200 -123.7011041 0.57480
4305330 38.8947470 439230 -123.7007582 0.37356
4305300 38.8944746 439200 -123.7011014 0.50903
4305300 38.8944767 439230 -123.7007555 0.39217
4305300 38.8945015 439590 -123.6966045 0.34860
4305270 38.8942043 439200 -123.7010988 0.41336
4305210 38.8936761 439380 -123.6990180 0.34748
4305210 38.8936968 439680 -123.6955589 0.38652
4305210 38.8937050 439800 -123.6941752 0.44112
4305180 38.8934058 439380 -123.6990153 0.39613
4305180 38.8934264 439680 -123.6955562 0.46036
4305180 38.8934285 439710 -123.6952103 0.36363
4305180 38.8934367 439830 -123.6938267 0.42326
4305150 38.8931561 439680 -123.6955536 0.37438
4305150 38.8931582 439710 -123.6952077 0.42224
4305120 38.8928672 439410 -123.6986641 0.40450
4305120 38.8928755 439530 -123.6972805 0.31392
4305120 38.8928796 439590 -123.6965887 0.35215
4305120 38.8928817 439620 -123.6962428 0.37134
4305090 38.8926072 439560 -123.6969320 0.38961
4305090 38.8926093 439590 -123.6965861 0.49438
4305090 38.8926113 439620 -123.6962401 0.38816
4305090 38.8926401 440040 -123.6913975 0.43761
4305090 38.8926421 440070 -123.6910516 0.35177
4305060 38.8923389 439590 -123.6965834 0.47620
4305060 38.8923410 439620 -123.6962375 0.46008
4305060 38.8923451 439680 -123.6955457 0.32888
4305060 38.8923677 440010 -123.6917408 0.32354
4305060 38.8923718 440070 -123.6910489 0.38322
4305060 38.8923739 440100 -123.6907030 0.35784
4305060 38.8923759 440130 -123.6903571 0.35768
4305060 38.8923780 440160 -123.6900112 0.38736
4305060 38.8923800 440190 -123.6896653 0.30369
4305030 38.8920686 439590 -123.6965808 0.58163
4305030 38.8920707 439620 -123.6962349 0.42497
4305030 38.8920748 439680 -123.6955431 0.39072
4305030 38.8920769 439710 -123.6951972 0.37785
4305030 38.8920810 439770 -123.6945054 0.37265
4305000 38.8917983 439590 -123.6965781 0.46722
4305000 38.8918003 439620 -123.6962322 0.55079
