# Python MESMA for LE07_LT05_20111026_20111027_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4346280 39.2631402 431340 -123.7958673 0.36323
4346250 39.2628675 431310 -123.7962120 0.53087
4346250 39.2628699 431340 -123.7958643 0.36843
4345050 39.2521262 432210 -123.7856600 0.27020
4345020 39.2518583 432240 -123.7853093 0.39434
4344990 39.2515880 432240 -123.7853063 0.39434
4344900 39.2507700 432150 -123.7863402 0.31091
4344900 39.2507817 432300 -123.7846019 0.37631
4344900 39.2507841 432330 -123.7842543 0.35904
4344870 39.2505021 432180 -123.7859895 0.23921
4344870 39.2505138 432330 -123.7842513 0.53444
4344840 39.2502435 432330 -123.7842482 0.26987
4344840 39.2502458 432360 -123.7839006 0.42154
4344810 39.2499755 432360 -123.7838976 0.46592
4344780 39.2497052 432360 -123.7838946 0.38793
4344780 39.2497075 432390 -123.7835469 0.47272
4344750 39.2494372 432390 -123.7835439 0.37093
4344720 39.2491646 432360 -123.7838886 0.25459
4344720 39.2491669 432390 -123.7835409 0.52703
4344690 39.2488966 432390 -123.7835379 0.60262
4344660 39.2486240 432360 -123.7838825 0.27020
4344570 39.2478084 432300 -123.7845688 0.97459
4344390 39.2461983 432450 -123.7828126 0.27083
4344390 39.2462006 432480 -123.7824649 0.42792
4344270 39.2451287 432600 -123.7810624 0.65123
4344240 39.2448561 432570 -123.7814071 0.39510
4344150 39.2440288 432360 -123.7838314 0.31148
4344120 39.2437585 432360 -123.7838284 0.58415
4344120 39.2437609 432390 -123.7834808 0.37278
4344090 39.2434906 432390 -123.7834778 0.38640
4343910 39.2418897 432660 -123.7803312 0.46967
4343880 39.2416148 432600 -123.7810235 0.29868
4343880 39.2416171 432630 -123.7806759 0.73806
4343880 39.2416194 432660 -123.7803283 0.75147
4343850 39.2413468 432630 -123.7806729 0.39655
4343430 39.2375672 432690 -123.7799357 0.41611
4343430 39.2375695 432720 -123.7795882 0.39659
4343400 39.2372992 432720 -123.7795852 0.31392
4343400 39.2373015 432750 -123.7792376 0.33092
4343100 39.2345868 432600 -123.7809455 0.27056
4342620 39.2302783 432810 -123.7784647 0.51779
4342620 39.2302806 432840 -123.7781172 0.55530
4342260 39.2270462 432960 -123.7766912 0.37307
4342140 39.2259580 432870 -123.7777219 0.55725
4342110 39.2256854 432840 -123.7780665 0.39043
4342080 39.2254128 432810 -123.7784110 0.39352
4342020 39.2248675 432750 -123.7791001 0.33697
4342020 39.2248698 432780 -123.7787525 0.38502
4342020 39.2248722 432810 -123.7784050 0.79607
4341630 39.2213559 432780 -123.7787137 0.21579
4341630 39.2213651 432900 -123.7773237 0.21171
4341600 39.2210856 432780 -123.7787107 0.25507
4341570 39.2208176 432810 -123.7783602 0.28533
4341570 39.2208199 432840 -123.7780127 0.24659
4341510 39.2202862 432930 -123.7769643 0.32999
4341510 39.2202886 432960 -123.7766168 0.32935
4341510 39.2202909 432990 -123.7762693 0.33331
4341480 39.2200183 432960 -123.7766138 0.60694
4341480 39.2200206 432990 -123.7762663 0.61471
4341480 39.2200229 433020 -123.7759188 0.37322
4341450 39.2197479 432960 -123.7766108 0.39943
4341450 39.2197503 432990 -123.7762633 0.48501
4341450 39.2197526 433020 -123.7759158 0.36800
4341270 39.2181400 433140 -123.7745080 0.75944
4341240 39.2178743 433200 -123.7738100 0.38966
4341240 39.2178766 433230 -123.7734625 0.33669
4341240 39.2178789 433260 -123.7731151 0.21336
4341210 39.2176040 433200 -123.7738071 0.52816
4341210 39.2176063 433230 -123.7734596 0.58272
4341210 39.2176086 433260 -123.7731121 0.32004
4341180 39.2173360 433230 -123.7734566 0.58272
