# Python MESMA for LT05_LE07_20061020_20061021 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4370400 39.4803795 430350 -123.8098485 0.21347
4370340 39.4798365 430320 -123.8101910 0.27138
4366680 39.4467876 429420 -123.8202674 0.27659
4366680 39.4467900 429450 -123.8199188 0.26342
4366680 39.4467925 429480 -123.8195702 0.34833
4366680 39.4467950 429510 -123.8192215 0.21490
4366680 39.4467974 429540 -123.8188729 0.23737
4366650 39.4465198 429450 -123.8199156 0.26521
4366650 39.4465222 429480 -123.8195670 0.35439
4366650 39.4465247 429510 -123.8192184 0.34425
4366650 39.4465271 429540 -123.8188698 0.30377
4366620 39.4462495 429450 -123.8199124 0.28304
4366620 39.4462519 429480 -123.8195638 0.43500
4366620 39.4462544 429510 -123.8192152 0.35439
4366620 39.4462568 429540 -123.8188666 0.21449
4366590 39.4459816 429480 -123.8195607 0.38440
4366560 39.4457089 429450 -123.8199061 0.35044
4366560 39.4457113 429480 -123.8195575 0.32380
4366530 39.4454386 429450 -123.8199029 0.23808
4366530 39.4454410 429480 -123.8195543 0.24309
4365780 39.4386640 429240 -123.8222638 0.23677
4365750 39.4383913 429210 -123.8226092 0.29784
4365750 39.4383938 429240 -123.8222606 0.31421
4364970 39.4313858 429480 -123.8193896 0.29654
4364970 39.4313883 429510 -123.8190411 0.28575
4364940 39.4311155 429480 -123.8193865 0.48154
4364790 39.4297959 429870 -123.8148397 0.24373
4364790 39.4297983 429900 -123.8144911 0.20234
4364760 39.4295280 429900 -123.8144880 0.69107
4364760 39.4295305 429930 -123.8141394 0.51032
4364760 39.4295329 429960 -123.8137909 0.23636
4364760 39.4295451 430110 -123.8120482 0.20234
4364730 39.4292529 429840 -123.8151819 0.35738
4364730 39.4292553 429870 -123.8148334 0.46327
4364730 39.4292578 429900 -123.8144848 0.48414
4364730 39.4292602 429930 -123.8141363 0.26153
4364730 39.4292724 430080 -123.8123936 0.25387
4364730 39.4292748 430110 -123.8120451 0.22990
4364730 39.4292772 430140 -123.8116966 0.20223
4364730 39.4292797 430170 -123.8113480 0.23636
4364730 39.4292821 430200 -123.8109995 0.23636
4364640 39.4284126 429480 -123.8193548 0.22316
4364640 39.4284200 429570 -123.8183092 0.21303
4364640 39.4284224 429600 -123.8179607 0.34310
4364640 39.4284249 429630 -123.8176122 0.20264
4364610 39.4281374 429420 -123.8200487 0.20329
4364610 39.4281399 429450 -123.8197002 0.21313
4364610 39.4281423 429480 -123.8193516 0.30214
4364610 39.4281448 429510 -123.8190031 0.31023
4364610 39.4281472 429540 -123.8186546 0.21303
4364610 39.4281521 429600 -123.8179575 0.29500
4364610 39.4281546 429630 -123.8176090 0.35520
4364610 39.4281570 429660 -123.8172605 0.22291
4364580 39.4278867 429660 -123.8172573 0.40168
4364580 39.4278892 429690 -123.8169088 0.20223
4364520 39.4273584 429810 -123.8155084 0.36653
4364520 39.4273608 429840 -123.8151598 0.50434
4364520 39.4273633 429870 -123.8148113 0.21343
4364520 39.4273657 429900 -123.8144628 0.21343
4364520 39.4273852 430140 -123.8116746 0.26972
4364490 39.4270856 429780 -123.8158537 0.33473
4364490 39.4270881 429810 -123.8155052 0.45050
4364490 39.4270905 429840 -123.8151567 0.44885
4364490 39.4270930 429870 -123.8148082 0.29991
