# Python MESMA for LE07_LT05_19990831_19991102 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4362060 39.4051255 428970 -123.8250057 0.34383
4362030 39.4048527 428940 -123.8253510 0.37955
4362030 39.4048552 428970 -123.8250025 0.34984
4362030 39.4048577 429000 -123.8246541 0.34456
4362000 39.4045824 428940 -123.8253478 0.34381
4362000 39.4045849 428970 -123.8249994 0.33579
4362000 39.4045874 429000 -123.8246510 0.39635
4362000 39.4046046 429210 -123.8222121 0.35682
4362000 39.4046071 429240 -123.8218637 0.60596
4361970 39.4043146 428970 -123.8249962 0.34278
4361970 39.4043171 429000 -123.8246478 0.37186
4361970 39.4043196 429030 -123.8242994 0.40665
4361970 39.4043220 429060 -123.8239509 0.37898
4361970 39.4043343 429210 -123.8222089 0.33516
4361970 39.4043368 429240 -123.8218605 0.46466
4361970 39.4043393 429270 -123.8215121 0.56840
4361940 39.4040493 429030 -123.8242962 0.39094
4361940 39.4040517 429060 -123.8239478 0.43361
4361940 39.4040542 429090 -123.8235994 0.29925
4361940 39.4040567 429120 -123.8232510 0.29496
4361940 39.4040641 429210 -123.8222057 0.32584
4361940 39.4040665 429240 -123.8218573 0.31053
4361940 39.4040690 429270 -123.8215089 0.42890
4361910 39.4037790 429030 -123.8242930 0.33333
4361910 39.4037814 429060 -123.8239446 0.34451
4361910 39.4037962 429240 -123.8218541 0.50995
4361910 39.4037987 429270 -123.8215057 0.72907
4361880 39.4035087 429030 -123.8242898 0.31336
4361880 39.4035259 429240 -123.8218510 0.44081
4361850 39.4032235 428850 -123.8263771 0.37087
4361850 39.4032260 428880 -123.8260286 0.40431
4361850 39.4032507 429180 -123.8225446 0.37401
4361820 39.4029533 428850 -123.8263739 0.38076
4361820 39.4029557 428880 -123.8260255 0.48464
4361820 39.4029582 428910 -123.8256771 0.36992
4361820 39.4029730 429090 -123.8235866 0.27575
4361820 39.4029755 429120 -123.8232382 0.38176
4361820 39.4029780 429150 -123.8228898 0.43159
4361820 39.4029804 429180 -123.8225414 0.36272
4361790 39.4026830 428850 -123.8263707 0.29643
4361790 39.4026854 428880 -123.8260223 0.37737
4361790 39.4026879 428910 -123.8256739 0.41236
4361790 39.4026904 428940 -123.8253255 0.34868
4361790 39.4026978 429030 -123.8242803 0.29746
4361790 39.4027003 429060 -123.8239319 0.30144
4361790 39.4027027 429090 -123.8235835 0.29426
4361790 39.4027052 429120 -123.8232351 0.32091
4361760 39.4024151 428880 -123.8260191 0.29195
4361760 39.4024176 428910 -123.8256707 0.31011
4361760 39.4024201 428940 -123.8253223 0.36982
4361760 39.4024300 429060 -123.8239287 0.34698
4361760 39.4024324 429090 -123.8235803 0.34981
4361730 39.4021473 428910 -123.8256675 0.29857
4361730 39.4021498 428940 -123.8253191 0.34187
4361730 39.4021646 429120 -123.8232287 0.35154
4361730 39.4021671 429150 -123.8228803 0.34912
4361700 39.4018770 428910 -123.8256643 0.32361
4361700 39.4018795 428940 -123.8253159 0.31469
4361700 39.4018968 429150 -123.8228771 0.32040
4361670 39.4016067 428910 -123.8256611 0.39984
4361670 39.4016092 428940 -123.8253127 0.29193
4361670 39.4016265 429150 -123.8228740 0.31629
4361670 39.4016289 429180 -123.8225256 0.38015
4361640 39.4013340 428880 -123.8260063 0.31585
4361640 39.4013364 428910 -123.8256579 0.38954
4361640 39.4013389 428940 -123.8253095 0.32170
4361610 39.4010562 428790 -123.8270483 0.34639
4361610 39.4010612 428850 -123.8263515 0.32262
4361610 39.4010637 428880 -123.8260031 0.39877
4361610 39.4010661 428910 -123.8256547 0.44625
4361610 39.4010686 428940 -123.8253064 0.34509
4361610 39.4010834 429120 -123.8232160 0.29086
4361610 39.4010859 429150 -123.8228676 0.35548
4361610 39.4010908 429210 -123.8221708 0.49575
4361580 39.4007835 428760 -123.8273935 0.36609
4361580 39.4007860 428790 -123.8270451 0.37236
4361580 39.4007934 428880 -123.8260000 0.41075
4361580 39.4007959 428910 -123.8256516 0.49812
4361580 39.4007983 428940 -123.8253032 0.40520
4361580 39.4008008 428970 -123.8249548 0.32139
4361580 39.4008156 429150 -123.8228644 0.31925
4361580 39.4008181 429180 -123.8225160 0.37771
4361580 39.4008205 429210 -123.8221676 0.41935
4361580 39.4008230 429240 -123.8218193 0.53481
4361550 39.4005256 428910 -123.8256484 0.41184
4361550 39.4005280 428940 -123.8253000 0.40327
4361550 39.4005305 428970 -123.8249516 0.31291
4361550 39.4005379 429060 -123.8239064 0.34712
4361550 39.4005404 429090 -123.8235580 0.40544
4361550 39.4005428 429120 -123.8232096 0.35048
4361550 39.4005502 429210 -123.8221645 0.41014
4361550 39.4005527 429240 -123.8218161 0.48800
4361520 39.4002577 428940 -123.8252968 0.32601
4361520 39.4002725 429120 -123.8232065 0.22586
4361490 39.3999874 428940 -123.8252936 0.32241
4361490 39.4000047 429150 -123.8228549 0.49308
4361370 39.3989013 428880 -123.8259776 0.34949
4361370 39.3989358 429300 -123.8211003 0.40080
4361340 39.3986310 428880 -123.8259744 0.37283
4361340 39.3986335 428910 -123.8256261 0.34417
4361340 39.3986656 429300 -123.8210971 0.51569
4361310 39.3983607 428880 -123.8259713 0.34556
4361310 39.3983632 428910 -123.8256229 0.38289
4361310 39.3983657 428940 -123.8252745 0.34674
4361310 39.3983681 428970 -123.8249261 0.32804
4361280 39.3980929 428910 -123.8256197 0.37321
4361280 39.3980954 428940 -123.8252713 0.36661
4361280 39.3980979 428970 -123.8249229 0.31793
4361250 39.3978424 429150 -123.8228295 0.31745
4361250 39.3978448 429180 -123.8224811 0.35710
4361220 39.3975499 428880 -123.8259617 0.37716
4361220 39.3975523 428910 -123.8256133 0.37016
4361220 39.3975622 429030 -123.8242198 0.33812
4361220 39.3975647 429060 -123.8238714 0.40613
4361220 39.3975671 429090 -123.8235231 0.37048
4361220 39.3975696 429120 -123.8231747 0.34321
4361220 39.3975721 429150 -123.8228263 0.38129
4361220 39.3975745 429180 -123.8224779 0.35903
4361190 39.3972820 428910 -123.8256101 0.37258
4361190 39.3972845 428940 -123.8252618 0.40306
4361190 39.3972944 429060 -123.8238683 0.29705
4361190 39.3972968 429090 -123.8235199 0.31696
4361190 39.3972993 429120 -123.8231715 0.34439
4361190 39.3973018 429150 -123.8228231 0.41132
4361190 39.3973042 429180 -123.8224748 0.37466
