# Python MESMA for LT05_LT05_19880824_19880916 run on 20191118 
#  MESMA fraction range = 0.2 - 1.0 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4398840 39.7364104 427950 -123.8408454 0.64468
4398810 39.7361325 427860 -123.8418923 0.43531
4398780 39.7358623 427860 -123.8418890 0.77469
4396620 39.7165228 429300 -123.8248536 0.71128
4396560 39.7159823 429300 -123.8248472 0.78141
4396530 39.7157020 429180 -123.8262439 0.56929
4396500 39.7154367 429240 -123.8255407 0.90261
4396500 39.7154566 429480 -123.8227409 0.88428
4390950 39.6656398 431760 -123.7955690 0.39600
4390860 39.6648433 431940 -123.7934614 0.36248
4390830 39.6645611 431790 -123.7952069 0.32188
4383600 39.5994032 431550 -123.7972565 0.73078
4383600 39.5994056 431580 -123.7969071 0.51609
4383570 39.5991449 431700 -123.7955065 0.99189
4382460 39.5892179 432630 -123.7845627 0.43226
4382460 39.5892202 432660 -123.7842133 0.65479
4382430 39.5889476 432630 -123.7845596 0.47047
4382430 39.5889500 432660 -123.7842103 0.73276
4382400 39.5886797 432660 -123.7842072 0.38198
4382400 39.5886820 432690 -123.7838579 0.57947
4371810 39.4931244 430860 -123.8040654 0.36756
4371780 39.4928517 430830 -123.8044111 0.43503
4371780 39.4928541 430860 -123.8040623 0.52319
4371780 39.4928565 430890 -123.8037134 0.40230
4371750 39.4925838 430860 -123.8040592 0.43501
4371750 39.4925862 430890 -123.8037103 0.37312
4371750 39.4925886 430920 -123.8033615 0.56125
4371750 39.4925910 430950 -123.8030126 0.42762
4371720 39.4923159 430890 -123.8037072 0.42347
4371720 39.4923183 430920 -123.8033584 0.38871
4371720 39.4923207 430950 -123.8030095 0.50062
4371660 39.4917850 431010 -123.8023056 0.52319
4371390 39.4893137 430530 -123.8078590 0.39041
4371060 39.4863574 430740 -123.8053828 0.35322
4371060 39.4863598 430770 -123.8050340 0.58131
4371060 39.4863623 430800 -123.8046852 0.62363
4370730 39.4833552 430380 -123.8095342 0.32569
4370730 39.4833576 430410 -123.8091854 0.35661
4370700 39.4830849 430380 -123.8095311 0.38441
4370340 39.4798365 430320 -123.8101910 0.36478
4367160 39.4511368 429720 -123.8168317 0.36690
4367160 39.4511441 429810 -123.8157858 0.50008
4366590 39.4459816 429480 -123.8195607 0.38875
4366560 39.4457113 429480 -123.8195575 0.33319
4366560 39.4457138 429510 -123.8192089 0.38501
4366560 39.4457162 429540 -123.8188603 0.50331
4366560 39.4457187 429570 -123.8185116 0.41243
4366530 39.4454435 429510 -123.8192057 0.41754
4366530 39.4454460 429540 -123.8188571 0.42562
4366530 39.4454484 429570 -123.8185085 0.47432
4366530 39.4454509 429600 -123.8181599 0.46332
4366500 39.4451757 429540 -123.8188539 0.47735
4366470 39.4449029 429510 -123.8191994 0.35489
4366440 39.4446326 429510 -123.8191962 0.40076
4366350 39.4438168 429450 -123.8198839 0.50058
4366350 39.4438217 429510 -123.8191867 0.35276
4366200 39.4424874 429720 -123.8167307 0.39067
4366170 39.4422147 429690 -123.8170761 0.49571
4366110 39.4416741 429690 -123.8170698 0.49098
4366080 39.4413989 429630 -123.8177638 0.47432
4366080 39.4414014 429660 -123.8174152 0.51305
4366080 39.4414038 429690 -123.8170666 0.50068
4366050 39.4411262 429600 -123.8181093 0.41731
4366050 39.4411286 429630 -123.8177607 0.36857
4366050 39.4411311 429660 -123.8174121 0.38419
4366020 39.4408534 429570 -123.8184547 0.49098
4365990 39.4405709 429420 -123.8201945 0.39217
4365990 39.4405733 429450 -123.8198459 0.61461
4365990 39.4405758 429480 -123.8194973 0.58443
4365990 39.4405831 429570 -123.8184515 0.35338
4365960 39.4403079 429510 -123.8191455 0.41345
4365780 39.4386616 429210 -123.8226123 0.41063
4365780 39.4386640 429240 -123.8222638 0.51811
4365750 39.4383938 429240 -123.8222606 0.60817
4365690 39.4378433 429120 -123.8236485 0.38305
4365270 39.4340863 429450 -123.8197698 0.59868
4365270 39.4340888 429480 -123.8194213 0.43813
4365240 39.4338086 429360 -123.8208123 0.49188
4365240 39.4338111 429390 -123.8204638 0.49021
4365240 39.4338135 429420 -123.8201152 0.52310
4365240 39.4338160 429450 -123.8197667 0.58935
4365210 39.4335383 429360 -123.8208092 0.41345
4365210 39.4335408 429390 -123.8204606 0.47534
4365210 39.4335433 429420 -123.8201121 0.67663
4365210 39.4335457 429450 -123.8197635 0.68809
4365180 39.4332680 429360 -123.8208060 0.68069
4365180 39.4332705 429390 -123.8204574 0.61461
4365180 39.4332730 429420 -123.8201089 0.74000
4365180 39.4332754 429450 -123.8197603 0.75159
4365150 39.4329978 429360 -123.8208028 0.66000
4365150 39.4330002 429390 -123.8204543 0.67611
4365150 39.4330027 429420 -123.8201057 0.76990
4365150 39.4330051 429450 -123.8197572 0.81654
4365120 39.4327275 429360 -123.8207997 0.59506
4365060 39.4321869 429360 -123.8207933 0.52924
4365030 39.4319166 429360 -123.8207901 0.43267
4365030 39.4319190 429390 -123.8204416 0.44978
4365030 39.4319215 429420 -123.8200930 0.62069
4365030 39.4319240 429450 -123.8197445 0.55623
4365030 39.4319264 429480 -123.8193960 0.59732
4365030 39.4319289 429510 -123.8190474 0.57076
4365030 39.4319313 429540 -123.8186989 0.47159
4365000 39.4316414 429300 -123.8214841 0.35554
4365000 39.4316438 429330 -123.8211355 0.39656
4365000 39.4316512 429420 -123.8200899 0.59895
4365000 39.4316537 429450 -123.8197413 0.61198
4365000 39.4316561 429480 -123.8193928 0.46956
